	User ID	Text ID	Text	Lang	Country by Zone	Country by Location	Drug	ADR
1347	9.60E+17	9.60E+17	@PRyan Probably boosting the manufacture of opioids. :/	en		"Dallas, TX"		
1358	9.60E+17	9.60E+17	@silencedrowns Mob mentality + alcohol &amp; narcotics + high adrenaline = bad times.	en	Eastern Time (US & Canada)	"Chicago, IL"	opioids	frustration
1364	9.60E+17	9.60E+17	"Just like nicotine, heroin, morphine *with matching boses nuno*"	en	Arizona			
1383	9.60E+17	9.60E+17	"Incomplete.

Wake up! Get these people some Naloxone!"	en	Pacific Time (US & Canada)	Toronto's Rainbow Village		
1401	9.60E+17	9.60E+17	"Why is that woman naked in the middle of the street 🤦🏽‍♂️ 
Imma just blame it on opioids"	en	Eastern Time (US & Canada)	Education Avenue.		
1405	9.60E+17	9.60E+17	"@Beau_Allen @Eagles Enjoy your low per capita income, heroin epidemic, blue collar jobs, and fictitious hero! Stupid philly fucks"	en				
1420	9.60E+17	9.60E+17	"@JamesUrbaniak Can you work in an opioid crisis reference? Two to three paragraphs, max."	en	Eastern Time (US & Canada)	Philadelphia		
1425	9.60E+17	9.60E+17	T-Mobile actually used a song by a heroin addict who killed himself to schlep for equal pay and babies and data plans.	en	Central Time (US & Canada)	America		
1438	9.60E+17	9.60E+17	@TheTweetOfGod You are the opiate of society mate.	en	Eastern Time (US & Canada)	"Jamaica Plain, Boston"		
1480	9.60E+17	9.60E+17	"Dear Percocet, I Don't Think We Should See Each Other Anymore - FRANK IERO and the PATIENCE"	en	Hong Kong	PINK STATION ZERO		
1483	9.60E+17	9.60E+17	I'm scared they might give Jack pain medication and he might overdose 😔😔😔😔 #ThisIsUs	en		"New York, NY"	pain medication 	overdose
1486	9.60E+17	9.60E+17	Doctors warn some opioid users taking 100s of pills of Imodium to get high	en			opioids	get high
1493	9.60E+17	9.60E+17	DJ Honey Garlic Soy Cracker Jack Inventor Heroin 72 here	en	Pacific Time (US & Canada)	"Hazelwood, Portland"		
1497	9.60E+17	9.60E+17	@Atrizzynips @TGrey609 Keep doing heroin pussy it's bad for you	en		The hood		
1500	9.60E+17	9.60E+17	Lean On Him Like He’s Codeine ❤️	en				
1506	9.60E+17	9.60E+17	Boutta listen to Codeine Crazy and cry myself to sleep.	en		Under a Money Tree	codeine	insomnia
1508	9.60E+17	9.60E+17	"Just like nicotine, heroin, morphine
suddenly, I'm a fiend and you're all I need😪🧡"	en	Central Time (US & Canada)	Cuerna🐮♡		
1519	9.60E+17	9.60E+17	just like nicotine heroin morphine	en	Singapore	"Davao City, Philippines"		
1529	9.60E+17	9.60E+17	I looove when girls have those dark circles that look like they’re strung out on heroin	en	Pacific Time (US & Canada)	Under 2		
1543	9.60E+17	9.60E+17	"Such this big deal every year for the Super Bowl, it’s not even the national pastime! Opiate addiction is 😕"	en	Pacific Time (US & Canada)			
1552	9.60E+17	9.60E+17	The Heroin Whore	en				
1575	9.60E+17	9.60E+17	"And the morphine they give you, ugh the come down gets you itching like a crackhead. I started crying because I was itching so bad."	en	America/Denver	"Texas, USA"	morphine	itching
1577	9.60E+17	9.60E+17	"@Ness_Duluth Don't worry Don, Duluth still won the title of most opioid overdoses for 2017."	en	Eastern Time (US & Canada)	Minnesota		
1604	9.60E+17	9.60E+17	"Houston and Catherine, heroin overdose reported. CPR is being performed. -CS"	en	America/Los_Angeles	Spokane Washington		
1614	9.60E+17	9.60E+17	"@CharlieDaniels Well Charlie, there is no blue specks so I would say it is not your spilled box 📦 of Oxy Clean!!"	en	Mountain Time (US & Canada)	"Montana,USA"		
2	9.63E+17	9.63E+17	@LBC Heroin is SO CHEAP. I think it’s a great idea.	en	Amsterdam	Hackney or Essex		
3	9.63E+17	9.63E+17	"Cost Of U.S. Opioid Epidemic Since 2001 Is $1 Trillion And Climbing
#heroin #fentanyl #opioids"	en	Pacific Time (US & Canada)	"North Carolina, USA"		
122	9.63E+17	9.63E+17	@Rina_Miez It's like this hero will forget his life (includes the heroin) in some period if something is threatening him. XD kinda like that	en	Athens	Sexy Zone 😜		
128	9.63E+17	9.63E+17	eliminations civet whet peering morphine's lodged #nonsense #nonsenseengine	en	London		morphine	
155	9.63E+17	9.63E+17	@brett_hay @SkyNewsAust You probably didn’t need the oxy..... or the second question mark	en				
159	9.63E+17	9.63E+17	Gta V got Codeine crazy on it I almost cried when I heard it	en	Arizona	Bronx✈️Houston		
162	9.63E+17	9.63E+17	"I cant even drink water without feeling pain, how am i supposed to eat anything or even take my medication ;("	en		BTS		
180	9.63E+17	9.63E+17	@TMZ Heroin or cocaine?	en				
192	9.63E+17	9.63E+17	@niallmctaxi Our shady past as heroin dealers has finally come in handy.	en		Ireland		
239	9.63E+17	9.63E+17	"just like nicotine, heroine, morphine."	en	Alaska	andreareinaldy		
244	9.63E+17	9.63E+17	@i_nivethathomas disgusted with myself..not even lucky in getting a rply frm my loved heroin😤 #AskNivetha	en		chennai		
267	9.63E+17	9.63E+17	@O2Crazzyfool u and @O2Involve teaming? Oxy moving over to comp Fortnite?	en	La Paz	Trinidad and Tobago		
307	9.63E+17	9.63E+17	"In my veins heroin
In yours - heroout"	en		Латвия/Рига		
330	9.63E+17	9.63E+17	Toxicology report He died of acute Fentanyl intoxication .	en		The Tardis	fentanyl	death
350	9.63E+17	9.63E+17	Leave some morphine at my door	en				
488	9.63E+17	9.63E+17	"Kodak Black (@KodakBlack1k) ft Lil Wayne - Codeine Dreaming

FOLLOW US ON IG @BEYONDTHEBOOTH_"	en		"New York, USA"		
529	9.63E+17	9.63E+17	@Kaaaat__ I take narcotics every day.	en	Eastern Time (US & Canada)	"Barrow County, Georgia"		
632	9.63E+17	9.63E+17	@KFCBarstool @Return_Of_RB If it’s heroin he should spend the rest of his life In jail	en		Long Island		
638	9.63E+17	9.63E+17	@fran_lw9 Heroin day	en	UTC			
706	9.63E+17	9.63E+17	@foxandfriends Stupid idea - every bike will eventually be cut apart because of narcotics trafficking	en				
766	9.63E+17	9.63E+17	They found 44 pounds of heroin at a baseball player crib holy shit.	en	Eastern Time (US & Canada)	 #TeamVirgo #TeamYote		
780	9.63E+17	9.63E+17	@Heroin ight gang	en	Eastern Time (US & Canada)			
795	9.63E+17	9.63E+17	codeine dreaming	en	Pacific Time (US & Canada)	jst waiting for my lil boy😇		
871	9.63E+17	9.63E+17	"This morning on the radio:  ""The greatest financial cost of the opioid epidemic, is in lost earnings and productivity losses to employers"""	en		Maine		
874	9.63E+17	9.63E+17	"@Libertea2012 *

It seems quite obvious, the pharmaceutical companies that produce opioids are dangerously evil.

*"	en		South Georgia Resident		
876	9.63E+17	9.63E+17	how will the vein drink a drunk vicodin?	en				
942	9.63E+17	9.63E+17	44lbs of heroin/cocain damn Esteban Loaiza	en	Central Time (US & Canada)	where you can't find me		
965	9.63E+17	9.63E+17	@danielhowell Are you on narcotics	en		"West Virginia, USA"		
980	9.63E+17	9.63E+17	Has Meghan Markle been sneaking Down to grenfell Tower area to buy cocaine and other narcotics	en	London	UK		
1032	9.63E+17	9.63E+17	I like the hero and heroin the new drama @shukriyahaya @syaheramanrose  #TiadaArahJodohKita 💖😘🔥	en	Beijing	MYY		
1045	9.63E+17	9.63E+17	if your doctor said benzos are the only option they are lying to you on purpose	en	Pacific Time (US & Canada)	Gobblers Knob	benzos	bad
1100	9.63E+17	9.63E+17	FUCK OPIATES	en	Pacific Time (US & Canada)	Gobblers Knob		
1119	9.63E+17	9.63E+17	@AStupidJerk It's alright I might get some morphine.  😃 when the bleeding actually stops.	en	London	plymouth		
1126	9.63E+17	9.63E+17	@Independent Is ibuprofen the gateway drug to Pharmaceutical opioids?	en		Earth		
1159	9.63E+17	9.63E+17	Pulled up in a drop... playing Billie Jean.... codeine in a pop	en	Quito	Successful Adventurer		
1321	9.63E+17	9.63E+17	"@scottdavis93 Nah I’ll give you it went a bit short this time, look like I’ve done a long stint on heroin"	en				
1357	9.63E+17	9.63E+17	@GovernorTomWolf We have ideas to help deal w the Opioid Crisis.	en		"Pennsylvania, USA"		
1378	9.63E+17	9.63E+17	@c_elainem Fuck that garbage site. I'd rather inject heroin then take the beats they deal out over and over	en		DegenVille		
1456	9.63E+17	9.63E+17	"@newsplatter Hi potent narcotic drugs.
You should enjoy it while you can 😁"	en	Jakarta	#BEJO		
1462	9.63E+17	9.63E+17	"Going to hit the opiates, but only a half-dose, due to the amount of alcohol already in my system for other reasons."	en	London	Chippenham wilts		
1463	9.63E+17	9.63E+17	"@MadGraham007 Codeine aaaaaahhhhhh.... 😍

Yeah I have an addiction problem. 🤣"	en				
1484	9.63E+17	9.63E+17	"someone just message me asking me if i need a plug for weed, mdma, xan, acid, codeine 😭"	en		backup	social	
1530	9.63E+17	9.63E+17	"@realDonaldTrump @foxandfriends Add Todd Kropinack, Justin Isenmann and Christopher Bagarozy to the opioid loss list.......in NJ. 😕😩😢😭"	en	Pacific Time (US & Canada)	"Jersey Shore, NJ"		
1607	9.63E+17	9.63E+17	"I dont like lorde really much, but god damn pure heroin is a masterpiece"	en	Pacific Time (US & Canada)	"Los Angeles, CA"		
1627	9.63E+17	9.63E+17	@MissLyallXXX Methadone Mick has a lot to answer for man 🐴🐴🐴🐴🐴🐴🐴	en		coatbridge		
1648	9.63E+17	9.63E+17	Drugs I haven't tried include shrooms and heroin. Wish I'd eaten the shrooms now.	en		psychward		
1650	9.63E+17	9.63E+17	@NPR What’s happening with the Opioid investigation called for by @RepJudyChu and @PeterWelch ?	en		"Pittsburgh, PA"		
1668	9.63E+17	9.63E+17	"Butterscotch flavouring in this ""Coffee Toddy"". A wave of opiate relief flooding through. Bloody sciatica."	en	London	Chippenham wilts		
1707	9.63E+17	9.63E+17	"Every form of addiction is bad, no matter whether the narcotic be alcohol or morphine or idealism.  Carl Gustav Jung #carlgustavjung"	en	Central Time (US & Canada)	USA		
1718	9.63E+17	9.63E+17	@FoxNews She looks like Ann Lennox on Heroin	en		Follow and I will follow Back		
1753	9.63E+17	9.63E+17	Walter WilkesListening to Codine by Quicksilver Messenger Service on my Amazon Echo	en	Central Time (US & Canada)			
1754	9.63E+17	9.63E+17	Listening to Codine by Quicksilver Messenger Service on my Amazon Echo	en	Central Time (US & Canada)			
1770	9.63E+17	9.63E+17	"Insanity is doing the same thing, over and over again, but expecting different results.” 
― Narcotics Anonymous, Narcotics Anonymous"	en	Alaska	highway to hell 		
1809	9.63E+17	9.63E+17	"Every form of addiction is bad, no matter whether the narcotic be alcohol or morphine or idealism.  Carl Gustav Jung #carlgustavjung"	en	London	Near you dad☆		
1832	9.63E+17	9.63E+17	@The_Paris_Angel Morphine Carryout?	en		Shepherds Bush		
1846	9.63E+17	9.63E+17	"@ClaireG97356213 
HMU 
5092186324
I've got bud and methadone's!!!!$"	en				
1859	9.63E+17	9.63E+17	Depression level is very high... i even told my lecturer i need medication to numb the pain away.... i rather feel numb	en	Singapore			
1878	9.63E+17	9.63E+17	@CIAAG_Lauren It's a illegal drug trade problem. Heroin and Meth. I have #ChronicPain taking everyone's prescription meds isn't the answer.	en	Eastern Time (US & Canada)	"Delbarton,WV "		
1942	9.63E+17	9.63E+17	Maryland sues Insys to enforce subpoena in opioid probe	en	Indiana (East)	"Stanley, Falkland Islands"		
1970	9.63E+17	9.63E+17	Mood: Codeine Crazy	en		"London, England"		
1973	9.63E+17	9.63E+17	#NowPlaying L-Wiz - Girl From Codeine City Girl From Codeine City L-Wiz	en	Paris	Marseille		
1978	9.63E+17	9.63E+17	@thinkdefence It’s the opioid epidemic	en	Amsterdam	London		
1982	9.63E+17	9.63E+17	@LBC Talks of decriminalising HEROIN but no talk of weed. I’m wondering why? N how that makes sense...	en	Amsterdam	www		
2010	9.63E+17	9.63E+17	"I DONT NEED NO SPEED
I DONT NEED NO HEROIN
I DONT WANT NO COKE
YOU CAN KEEP YOUR KETAMINE
IM A BASSLINE JUNKIE
IM A BASSLINE JUNKIE"	en				
2035	9.63E+17	9.63E+17	"purple codeine, oye"	en		"Póvoa Santa Iria, Portugal"		
2050	9.63E+17	9.63E+17	#TiadaArahJodohKita will be my fav drama starting from today. Sumpah heroin dia lawa. Macam bidadari	en	Alaska	Malaysia		
2062	9.63E+17	9.63E+17	@itsgabrielleu well this is the same individual that thinks Marijuana has Opioids in it even though it does.	en	Eastern Time (US & Canada)	the lightbulb moment centre		
2082	9.63E+17	9.63E+17	@funder Pop a few more oxy's and a xanax lady.	en		"A Beach, Earth"		
2087	9.63E+17	9.63E+17	what classification can be given to narcotics that allow you to remember what your face felt like 9 years ago #illbe21soon	en			narcotics	
2177	9.63E+17	9.63E+17	Codeine crazy	en	Eastern Time (US & Canada)	🌎		
2235	9.63E+17	9.63E+17	"@davideportcity @blueapron Not allergic to meth, heroin, fentanyl, weed or drama, though!"	en				
2258	9.63E+17	9.63E+17	I’m codeine dreaming😄	en		"Mind In USA, Body In 9ja"		
2265	9.63E+17	9.63E+17	@RosieMcCormack @SimonHarrisTD @HSELive Your lucky you can even receive pain meds. Some of us can't because of this big war on opioids.	en	Eastern Time (US & Canada)	"Delbarton,WV "		
2311	9.63E+17	9.63E+17	A Priority Of Hate: Liberal Press chooses to attack Session’s use of a common legal term rather than focus on National Opioid Crisis.	en				
2322	9.63E+17	9.63E+17	Bay opioids survey yields mixed results	en				
2333	9.63E+17	9.63E+17	"Trump budget plan to seek funds for border wall, infrastructure, opioid treatment"	en				
2355	9.63E+17	9.63E+17	@CNNPolitics Shut down the opioid companies	en		Canada		
2386	9.63E+17	9.63E+17	@BettyBowers Betty is my heroine. Not heroin.	en	Amsterdam	"Eindhoven, The Netherlands"		
2389	9.63E+17	9.63E+17	@LBC may aswell as the anti smoking brigade thinks smoking is far worse than heroin	en	London	Bolton		
2399	9.63E+17	9.63E+17	"@TheDiddyBop @NYCsobercoach It’s a mind altering substance for sure, they deem it an opioid now"	en		New York		
2400	9.63E+17	9.63E+17	@TiwaSavage finish work on top this codeine diet mehn! 👏	en	Hawaii	"Lagos, Nigeria"		
2410	9.63E+17	9.63E+17	@realDonaldTrump @foxandfriends Lies ...@KellyannePolls is making this opiate addiction system a gotdam joke.	en	Eastern Time (US & Canada)			
2464	9.63E+17	9.63E+17	@WeedFeed Yes! I am detoxing off of  Methadone right now with Cannabis. It is working for me.	en	Pacific Time (US & Canada)			
2485	9.63E+17	9.63E+17	currently crying 2 codeine crazy	en		Not in Auckland		
2501	9.63E+17	9.63E+17	@DearAuntCrabby Continue to enjoy those pain meds Auntie. He might get deposed but the begging for forgiveness part is an OxyContin dream.	en				
2502	9.63E+17	9.63E+17	@CNN CNN is gonna hate common sense approach against opioid crisis I bet	en		"Maryland, USA"		
2514	9.63E+17	9.63E+17	Hey @foxandfriends @ainsleyearhardt the young man who died from opioid was a hockey star not football. Ugh!	en				
2530	9.63E+17	9.63E+17	Up Sippin Codeine Tryna ease the pain	en	Arizona			
2550	9.63E+17	9.63E+17	Economic cost of the opioid crisis: $1 trillion and growing faster...	en	Pacific Time (US & Canada)	"Washington, DC"		
2609	9.63E+17	9.63E+17	@realDonaldTrump Why are you taking money away from programs fighting the opioid crisis in this budget?	en		"Brooklyn, NY"		
2692	9.63E+17	9.63E+17	You ever listen to pure heroin from beginning to end and just. Wow.	en	Atlantic Time (Canada)			
2713	9.63E+17	9.63E+17	@LowellSunNews Kids are doing fucking heroin by sure play cop😡	en		Boston		
2720	9.63E+17	9.63E+17	"OxyContin maker Purdue to stop promoting opioids to doctors, cut half of sales staff"	en	Mazatlan	"Louisville, Kentucky"		
2723	9.63E+17	9.63E+17	"*gets morphe pallet for birthday*
wes - YOU GOT MORPHINE ?!"	en				
2737	9.63E+17	9.63E+17	My grandparents are on Xanax and codeine	en		"Sittingbourne, England"		
2743	9.63E+17	9.63E+17	"@CMDR_SnowCrash @achunt @agereaver @iLearningUK I’m running a T6 now, but mainly focus on narcotics! 🤫🤣"	en		Now that would be telling!		
2767	9.63E+17	9.63E+17	"Capping years of criticism, Purdue Pharma will stop promoting its opioid drugs to doctors"	en			social	
2768	9.63E+17	9.63E+17	"@GizmodoAU Aspirin no, Oxycodone hell yes."	en		West Australia		
2775	9.63E+17	9.63E+17	"just like nicotine, heroin, morphine
adenine, thymine, cytosine, and guanine are nitrogenous bases found in DNA."	en	Beijing	where am i?		
2799	9.63E+17	9.63E+17	"Marijuana is the oldest natural, purest, and healthiest pain relief medication in the world. It's use dates back to 10 B.C."	en	Kyiv			
2809	9.63E+17	9.63E+17	"I pop me a percocet, i get in my emotions"	en	Athens	OZ	percocet	create emotion
2819	9.63E+17	9.63E+17	"The Power Rangers were censored in Malaysia because they thought the word ""Morphin"" would get free heroin at clinics three times a day."	en	Eastern Time (US & Canada)			
2848	9.63E+17	9.63E+17	"@IainMoppett Relaxants are red
Opioids are blue
If you don’t read the labels
Your patient will sue"	en		"Bath, England"		
2909	9.63E+17	9.63E+17	side affect of my medication is apparently crippling stomach pain so good morning	en		Canada	medication	crippling stomach
2932	9.63E+17	9.63E+17	"All this codeine got me stuck, but the molly get me up
My mamma call me up, but I can't pick it"	en	Madrid	Barcelona x Madrid | L☹️VE		
2933	9.63E+17	9.63E+17	"@NancyJFarrell1 @NickKristof Srsly. How many hungry kids could’ve eaten, how many opioid addicts given access to treatment, etc."	en		"New York, NY"		
2935	9.63E+17	9.63E+17	Pain Pill Giant Purdue to Stop Promotion of Opioids to Doctors	en	Pacific Time (US & Canada)	"Seattle, Washington"		
2969	9.63E+17	9.63E+17	The last week’s chapter in my memoir is titled “Coughing and codeine.”	en	Eastern Time (US & Canada)	"Boston, MA, USA"		
2976	9.63E+17	9.63E+17	Homie you takin morphine you moron	en		Siargao		
3008	9.63E+17	9.63E+17	@StPaul92266071 @willab86 I think this guy is on OxyContin if he thinks his is a real Obama tweet	en				
3020	9.63E+17	9.63E+17	@theOGshowcase That’s Janna looking for some more green swamp heroin.	en		GOD'S COUNTRY		
3024	9.63E+17	9.63E+17	"OxyContin maker Purdue to stop promoting opioids to doctors, cut half of sales staff"	en				
3062	9.63E+17	9.63E+17	@DaddyCrowell I think that's how they roll out in Waverly with the swamp heroin	en		"Nashville, TN"		
3077	9.63E+17	9.63E+17	"OxyContin maker stops promoting opioids, cuts sales staff"	en				
3088	9.63E+17	9.63E+17	Why did Big Pharma wait for opioids to become a 'crisis'?	en		"Orlando, FL"		
3105	9.63E+17	9.63E+17	"Capping years of criticism, Purdue Pharma will stop promoting its opioid drugs to doctors"	en	Central America	Gibraltar		
3109	9.63E+17	9.63E+17	opioid withdrawal is a bitch :/	en	Pacific Time (US & Canada)			
3130	9.63E+17	9.63E+17	@kylegriffin1 @MarshaBlackburn sold her constituents out to the drug and opioids companies imagine what she'll do as a senator.	en	Eastern Time (US & Canada)	Gotham City		
3149	9.63E+17	9.63E+17	Hope Tramadol abusers will stop it	en	Pacific Time (US & Canada)	"Lagos, Nigeria"		
3182	9.63E+17	9.63E+17	@Heroin right here	en	Eastern Time (US & Canada)			
3189	9.63E+17	9.63E+17	Fish fillets stuffed with deadly drug fentanyl seized from vehicle in the Bronx	en				
3192	9.63E+17	9.63E+17	Only $1 billion/yr towards public health initiatives for the opioid crisis &amp; HHS’s budget would be cut by 20%	en	Eastern Time (US & Canada)			
3194	9.63E+17	9.63E+17	"Americans are abusing over-the-counter drugs as well as opioids, study shows"	en				
3198	9.63E+17	9.63E+17	Religion is the opiate of the masses  #Marx #gorsuch	en				
3227	9.63E+17	9.63E+17	"Even though I played Saturday, after Pep left Faz sent me on a two week heroin rehab course, my Twitter is back up and running #OUFC"	en		Albanian Mafia		
3229	9.63E+17	9.63E+17	The real opioid crisis is there aren’t enough drugs in the world to make you forget that Donald Trump is president. @middleageriot	en		Living Blue in Red State 		
3242	9.63E+17	9.63E+17	If u keep tellin a heroin addict stop Doing heroin..do u really think that's gonna make them stop? Lol they need more than a word!	en	Quito	Galaxy of Guardians		
3259	9.63E+17	9.63E+17	@realDonaldTrump @foxandfriends You likely own stock in the companies producing opioids. Where are those taxes?	en	Central Time (US & Canada)	USA		
3284	9.63E+17	9.63E+17	@kibiloski Holy crap! How could they not determine whether it was heroin or cocaine? LOL	en	Eastern Time (US & Canada)			
3326	9.63E+17	9.63E+17	Pain Pill Giant Purdue to Stop Promotion of Opioids to Doctors	en	Bogota	"Denver, Colorado"		
3359	9.63E+17	9.63E+17	"@MaajidNawaz 
Lol, Michael what a prune.
Alcohol kills more people than heroin.
He won't ban it because he drinks it. 
What a plankton
@LBC"	en		the Midlands		
3360	9.63E+17	9.63E+17	"Blurring all the lines you intoxicaaaaate me just like nicotine, heroin, morphine"	en	Brasilia	Roseville		
3397	9.63E+17	9.63E+17	eventually they’re gonna make cold brew a schedule 1 narcotic and the only thing we’ll have to do is kill ourselves	en	Eastern Time (US & Canada)			
3414	9.63E+17	9.63E+17	"Carry Dr, LLB, LLwhatever, went to Harvard but doesn't know something as simple as Tramadol isn't illegal."	en	Amsterdam	"Ikeja, Nigeria"		
3420	9.63E+17	9.63E+17	@News12WC At what expense? Supplying endless amounts of opioids to doctors who over prescribe it?	en	Atlantic Time (Canada)	New York		
3436	9.63E+17	9.63E+17	"@jongroeschl they didn't see the infomercial with the screen door bottom-boat

I think that guy had oxy- clean"	en		West of the Missouri		
3454	9.63E+17	9.63E+17	"@Kodie2038Donna @ScaramucciPost Donna, bad experience last time you were in the methadone program?"	en		"Lake Nipissing, Canada 🇨🇦"		
3457	9.63E+17	9.63E+17	$10M fentanyl found in fish fillets	en	Chihuahua	"St. George's Town, Bermuda"		
3471	9.63E+17	9.63E+17	House passes bills seeking to increase fight against opioids	en				
3480	9.63E+17	9.63E+17	How greasy are you if you’re selling opioids for big pharma? Imagine this person in a hospital? So gross.	en	Eastern Time (US & Canada)	"Papa Doug's, Ontario "		
3481	9.63E+17	9.63E+17	"cup full of lean, pure codeine"	en		pluto		
3540	9.63E+17	9.63E+17	Fish fillets stuffed with deadly drug fentanyl seized from vehicle in the Bronx	en	Alaska	Sacramento		
3541	9.63E+17	9.63E+17	"Americans are abusing over-the-counter drugs as well as opioids, study shows"	en	Central America	Tucson		
3546	9.63E+17	9.63E+17	"Just like nicotine, heroin, morphine LSS"	en	Beijing	Alola		
3577	9.63E+17	9.63E+17	"I got Doja Narcotics and Actavis 

Got a dyke hoe, nympho and yo bitch laying next to me and bae"	en		"DeSoto, TX"		
3589	9.63E+17	9.63E+17	@bencaka28 @MailOnline 😂😂😂 I use it after surgery on my head and works wonders. More people should use it over highly addicted opiates	en	London	BIRMINGHAM		
3607	9.63E+17	9.63E+17	"I got Doja Narcotics and Actavis 

Got a dyke hoe, nympho and yo bitch laying next to me and bae"	en		"DeSoto, TX"		
3635	9.63E+17	9.63E+17	"@Markevv62 @rogerthatone @AdamPiersen Exactly, all we need is to get clean heroin just like clean coal everything will get better."	en		"Warner Robins, GA"		
3640	9.63E+17	9.63E+17	I've never done heroin.	en		New York		
3645	9.63E+17	9.63E+17	Tramadol is the shit!! Felt like I was dying before now I feel like I could run a marathon 😁	en	Casablanca			
3647	9.63E+17	9.63E+17	Analgesics may kill the pains of the body but not the afflictions of the mind or the soul.	en				
3650	9.63E+17	9.63E+17	@SimonGreasley @martinsmith02 @damiengayle I think doctors as a general rule are well trained in prescribing morphine.	en		uk		
3666	9.63E+17	9.63E+17	@realDonaldTrump @foxandfriends Words are cheap. Your cutting funding for opioid  treatment. Liar Trump	en				
3731	9.63E+17	9.63E+17	@Shrink_at_Large Prescription drug damage is real and may last years. I’m suffering horribly tapering off benzos along with many others.	en		"Fort Worth, TX"	benzos	suffering
3743	9.63E+17	9.63E+17	Marijuana isn't the gateway drug to Opioid use.  Donald Trump is the gateway politician to Vladimir Putin	en	Atlantic Time (Canada)	sailing in the wind ..~~__/)~~		
3842	9.63E+17	9.63E+17	@dispatcheditor Red state America needs more than words from Trump to fight the opioid crisis	en	Eastern Time (US & Canada)			
3844	9.63E+17	9.63E+17	@cnnbrk she knew because she getting abused...by her opiate habit	en		"Atlanta, GA"		
3850	9.63E+17	9.63E+17	@StringsComplex OXY U R 31+13 = 44 DAYS LATE	en	Jakarta	ryllen.tumblr.com		
3922	9.63E+17	9.63E+17	"@alyboo315 Addiction is a disease, you either have it or you don't. I don't. Less than 1% of people prescribed opioids ever addict."	en	Eastern Time (US & Canada)	"Florida, USA"		
3923	9.63E+17	9.63E+17	Codeine Crazy is the best record by @1future ever.	en	Pacific Time (US & Canada)	"Calgary, Alberta"		
3942	9.63E+17	9.63E+17	@__Anak_Wispa may yoying ang pangulo . Under the influence of drugs .side effect nang fentanyl.	en		star city..  philippines 		
3949	9.63E+17	9.63E+17	"Just like, nicotine, heroin, morphine"	en		55021		
3958	9.63E+17	9.63E+17	Hey Trump what happened to taking care of the VETS?					
3961	9.63E+17	9.63E+17	Where the Percocet @ I need that shit 😪	en	Pacific Time (US & Canada)	"Denver, CO"		
3970	9.63E+17	9.63E+17	"""stay off the drugs"" bitch i smoke weed wtf 😭 ur the crackhead who makes shit up in ur mind bc u tweakin off codeine pills 24/7"	en		"Texas, USA"		
3971	9.63E+17	9.63E+17	Thanks to @nkychamber for holding Eggs and Issues session on opioid epidemic. Businesses have an important role to play in response.	en	Quito	"Edgewood, Ky."		
3991	9.63E+17	9.63E+17	"Can someone please bring me some codeine, cheers"	en				
4007	9.63E+17	9.63E+17	"@WSJ Yes, correct. The Oxy Pharma has profited mightily for decades, is well known in NYC philanthropic circles."	en		United States		
4048	9.63E+17	9.63E+17	Walter WilkesListening to Codeine by Quicksilver Messenger Service on my Amazon Echo	en	Central Time (US & Canada)			
4049	9.63E+17	9.63E+17	Listening to Codeine by Quicksilver Messenger Service on my Amazon Echo	en	Central Time (US & Canada)			
4078	9.63E+17	9.63E+17	"“Tomorrow, I’m gonna try heroin.” -Greg"	en				
4243	9.63E+17	9.63E+17	So glad I don’t need to take constant codeine/ paracetamols anymore because the pain in my ankle has finally reduced!	en		"Bideford, England"		
4281	9.63E+17	9.63E+17	How to exorcize oxy from 5 AM tl	en	Jakarta	ryllen.tumblr.com		
4297	9.63E+17	9.63E+17	morphine are so fuckin good	en		the trash		
4367	9.63E+17	9.63E+17	"7am I got to sleep.
Pain is so bad.
I had to take Morphine, just so I could lie down."	en				
4372	9.63E+17	9.63E+17	Maryland sues Insys to enforce subpoena in opioid probe	en	Pacific Time (US & Canada)	"Fort Wayne, Indiana"		
4387	9.63E+17	9.63E+17	I am of the unpopular opinion that sports serves as the opiate of the masses.	en	Paris	Displaced		
4480	9.63E+17	9.63E+17	@Heroin u finna b on tonight	en	Eastern Time (US & Canada)			
4522	9.63E+17	9.63E+17	So I have the flu &amp; my doc gave me that codeine.. idk how these niggas be fucked up on this daily. I feel dead lmao #codeinecrazy	en	Atlantic Time (Canada)	Lost under a rainbow somewhere		
4553	9.63E+17	9.63E+17	@Heroin Right here king💅🏻	en	Pacific Time (US & Canada)			
4565	9.63E+17	9.63E+17	"Chedo raps mournfully about trying heroin for the first time, and why it ruined his fucking life"	en			heroin	frustration
4567	9.63E+17	9.63E+17	"I don't get hangovers from alcohol, even cheap alcohol, but tramadol jfc, kill me now."	en		Down in it	tramadol	hangover
4572	9.63E+17	9.63E+17	"How I wish Tolu was on some Codeine trips.😂
Cee-c is just using somebody bf to wash G-string pant🤣!!@BBNaija"	en		"Lagos, Nigeria"		
4609	9.63E+17	9.63E+17	"@Hoidy @fczenit_en @SoulWasTaken @norimyxxxo just sayin if soul ever battled oxy , oxy would get bodied! wouldnt even be debatable"	en	Pacific Time (US & Canada)	"Glasgow, Scotland"		
4611	9.63E+17	9.63E+17	"How I wish Lolu was on some Codeine trips.😂
Cee-c is just using somebody bf to wash G-string pant🤣!!@BBNaija"	en		"Lagos, Nigeria"		
4630	9.63E+17	9.63E+17	YOURE NICOTINE HEROINE MORPHINE	en	Brasilia	SP		
