	PMID	CUI1	PTerm1	CUI2	PTerm2	CUI3	PTerm3	CUI4	PTerm4	CUI5	PTerm5	CUI6	PTerm6	CUI7	PTerm7	CUI8	PTerm8	CUI9	PTerm9	CUI10	PTerm10	CUI11	PTerm11	CUI12	PTerm12	CUI13	PTerm13	CUI14	PTerm14	CUI15	PTerm15	CUI16	PTerm16	CUI17	PTerm17	CUI18	PTerm18	CUI19	PTerm19	CUI20	PTerm20	CUI21	PTerm21	CUI22	PTerm22	CUI23	PTerm23	CUI24	PTerm24	CUI25	PTerm25	CUI26	PTerm26	CUI27	PTerm27	CUI28	PTerm28	CUI29	PTerm29	CUI30	PTerm30	CUI31	PTerm31	CUI32	PTerm32	CUI33	PTerm33	CUI34	PTerm34	CUI35	PTerm35	CUI36	PTerm36
1313	612187	C0278080	Physical addiction	C0858353	addicted to heroin	C1457887	Symptoms	C0879626	Adverse effects	C0919568	impatience	C0919568	impatience	C0240602	opioid use	C0919568	impatience	C0240602	opioid use	C0919568	impatience	C0240602	opioid use	C0919568	impatience	C0240602	opioid use	C0919568	impatience																																												
1314	605768	C0235063	Respiratory Depression	C1955473	Others - Allergy	C0344315	Depressed mood	C0344315	Depressed mood	C1444657	Contraindicated	C1273517	Used by	C1273517	Used by																																																										
1315	605766	C0557351	Employed	C0557351	Employed	C1273517	Used by	C1273517	Used by																																																																
1316	605762	C3844638	Either	C0428679	Minute volume	C0030201	Pain, Postoperative	C1963179	Nausea Adverse Event	C1963281	Vomiting Adverse Event	C0879626	Adverse effects																																																												
1317	605761	C0235063	Respiratory Depression	C0235063	Respiratory Depression	C0412771	Spontaneous respiration	C0428679	Minute volume	C0003578	Apnea	C0150312	Present	C2984079	Somewhat	C3533236	Mean score	C0030201	Pain, Postoperative	C0027497	Nausea	C0042963	Vomiting	C0680844	estimation <subjective>																																																
1318	603807	C0332128	Examined	C1821945	Altered food intake	C4021220	Trophic changes related to pain	C2825142	Experimental Result	C0015934	Fetal Growth Retardation	C0871747	fetal exposure	C3897216	Untrimmed Placental Weight	C0871747	fetal exposure	C1262477	Weight decreased																																																						
1319	596809	C0344307	Absence of pain sensation	C0013220	Drug Tolerance	C1273517	Used by	C3838679	4+ Answer to question	C3844638	Either	C0231530	Muscle twitch	C0233494	Tension	C2677207	Thumb adduction	C3838679	4+ Answer to question	C0231530	Muscle twitch	C0233494	Tension	C3838679	4+ Answer to question	C0311392	Physical findings	C0231530	Muscle twitch	C0233494	Tension	C0852885	bucking	C0010200	Coughing	C0332219	Easy	C0013220	Drug Tolerance	C0150312	Present																																
1320	596294	C0678356	alcohol effect	C0033213	Problem	C0013220	Drug Tolerance	C0278080	Physical addiction																																																																
1321	590179	C1720436	Under anesthesia	C0007350	Cat Diseases	C0332128	Examined	C0032343	Poisoning	C3151529	Lethal	C0032343	Poisoning	C1527348	Brain Hypoxia	C0234533	Generalized seizures	C0014544	Epilepsy	C0014548	Epilepsy, Generalized	C0036572	Seizures	C0014544	Epilepsy	C4033634	Blood Indices	C0560017	EEG normal																																												
1322	590178	C0332128	Examined	C0150312	Present	C0543488	Interested	C0233660	Mental blocking	C0850310	Possessed	C0274692	Poisoning by amphetamine	C0020672	Hypothermia, natural	C0015967	Fever	C0518609	consideration																																																						
1323	585584	C0572070	Heroin overdose	C0013798	Electrocardiogram	C0039239	Sinus Tachycardia	C0232308	P pulmonale by EKG (finding)	C0003811	Cardiac Arrhythmia	C3838679	4+ Answer to question	C4067893	Use of supplemental oxygen	C0003811	Cardiac Arrhythmia	C0428646	Oxygen concentration	C0013798	Electrocardiogram	C0003811	Cardiac Arrhythmia	C0700292	Hypoxemia	C0003811	Cardiac Arrhythmia	C0019337	Heroin Dependence	C0221791	medical complication	C0001721	Affect (mental function)	C0522055	Electrocardiogram abnormal	C1273517	Used by	C0855329	Electrocardiographic changes	C0572070	Heroin overdose	C0162429	Malnutrition																														
1324	579136	C0439857	Dependence	C0278080	Physical addiction	C0220929	Mental tolerance	C0439857	Dependence	C0278080	Physical addiction	C0439857	Dependence	C0278080	Physical addiction	C0220929	Mental tolerance	C2911645	Weight Loss Adverse Event																																																						
1325	579098	C2825142	Experimental Result																																																																						
1326	565588	C0684336	Impaired health	C3843766	<50	C0549622	Sexual Dysfunction	C3843766	<50	C0449381	Observation parameter	C0150312	Present	C0679272	polydrug abuse	C0237607	Practice Experience	C1299586	Has difficulty doing (qualifier value)	C0037088	Signs and Symptoms	C1545438	Person present	C0332167	High risk of	C0589507	Cognitive function: initiation																																														
1327	558943	C0418416	Pinched	C1962977	Pain NOS Adverse Event	C0870485	emotional responses	C0564182	Vocalization (finding)	C0870509	Escape (mental process)	C1524029	Mouse MIN NOS	C1524029	Mouse MIN NOS	C1962977	Pain NOS Adverse Event	C0004083	Mental association																																																						
1328	557222	C0086045	Mental concentration	C3843766	<50	C3843766	<50	C0150312	Present	C0150312	Present																																																														
1329	418524	C1962977	Pain NOS Adverse Event	C1265901	Abnormal cell structure	C0162703	Pain Threshold	C0424543	Response to pain finding	C1962977	Pain NOS Adverse Event																																																														
1330	417622	C0600688	Toxic effect	C3842675	Day 3	C0542243	toxic reaction (non-specific)	C0020517	Hypersensitivity	C0600228	Cardiopulmonary Arrest	C1540677	neuropathology disease	C0034063	Pulmonary Edema	C0600138	Does play																																																								
1331	416217	C0043094	Weight Gain	C0015663	Fasting	C0150312	Present	C1955473	Others - Allergy	C0043094	Weight Gain	C0150312	Present	C0043094	Weight Gain	C0854145	Feeding Disorders																																																								
1332	415839	C1273517	Used by	C0022353	Neonatal Jaundice	C0150312	Present	C0013220	Drug Tolerance																																																																
1333	406758	C0243095	Finding	C0700323	Observation of Neuromuscular Block	C1457887	Symptoms	C0337676	Social drinker	C1457887	Symptoms	C1514241	Positive Finding	C0150312	Present	C1709157	Negative Surgical Margin	C0150312	Present	C1457887	Symptoms	C1457887	Symptoms	C1273517	Used by	C1299586	Has difficulty doing (qualifier value)	C0013117	Dreams	C0034770	Mental Recall	C2825142	Experimental Result																																								
1334	403530	C0542243	toxic reaction (non-specific)	C3151529	Lethal	C0542243	toxic reaction (non-specific)	C3151529	Lethal	C0542243	toxic reaction (non-specific)	C3151529	Lethal	C0542243	toxic reaction (non-specific)	C0235063	Respiratory Depression	C0600688	Toxic effect	C0542243	toxic reaction (non-specific)	C0600688	Toxic effect																																																		
1335	403529	C0278080	Physical addiction	C0870509	Escape (mental process)	C0870509	Escape (mental process)	C0870509	Escape (mental process)	C0870509	Escape (mental process)	C0026552	Morphine Dependence	C0870509	Escape (mental process)	C0870509	Escape (mental process)	C0233496	Aversion (finding)																																																						
1336	402685	C0020649	Hypotension	C0428977	Bradycardia	C1720436	Under anesthesia																																																																		
1337	402658	C1273517	Used by	C0026552	Morphine Dependence	C2825142	Experimental Result	C0087169	Withdrawal Symptoms	C0087169	Withdrawal Symptoms	C0439857	Dependence	C1963281	Vomiting Adverse Event	C4304523	Withdrawal sign	C0026552	Morphine Dependence	C1963281	Vomiting Adverse Event																																																				
1338	347927	C3845889	Drugs/alcohol	C2984079	Somewhat	C0221791	medical complication	C0085762	Alcohol abuse																																																																
1339	347926	C1444656	Indicated	C1290955	drug dependent	C0013146	Drug abuse	C0700285	Drug addict	C1290955	drug dependent	C1444656	Indicated	C1290955	drug dependent	C1273517	Used by	C0013146	Drug abuse	C0560187	Able to balance	C1299544	History of substance abuse	C1290955	drug dependent	C0678356	alcohol effect	C0013146	Drug abuse	C0085762	Alcohol abuse	C0085762	Alcohol abuse																																								
1340	347925	C0085281	Addictive Behavior	C0033213	Problem	C0392347	Hope (emotion)	C0085281	Addictive Behavior	C0392751	In prison (finding)	C0085281	Addictive Behavior	C1527402	Narcotic Dependence																																																										
1341	340141	C0699809	Does carry	C0013220	Drug Tolerance																																																																				
1342	340138	C0699809	Does carry	C0037578	Soft Tissue Injuries	C0184567	Acute onset pain	C3263722	Traumatic AND/OR non-traumatic injury	C0241745	Wound pain	C3844638	Either	C3263722	Traumatic AND/OR non-traumatic injury	C0234233	Sore to touch	C1704632	Disease Response	C0879626	Adverse effects																																																				
1343	339672	C1963091	Diarrhea Adverse Event	C0014518	Toxic Epidermal Necrolysis	C1963091	Diarrhea Adverse Event	C0150312	Present	C1963091	Diarrhea Adverse Event	C0877248	Adverse event																																																												
1344	338393	C3838679	4+ Answer to question	C3843766	<50																																																																				
1345	338392																																																																								
1346	333852	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C1507009	Pain onset	C0564405	Feeling relief	C1962977	Pain NOS Adverse Event	C0013144	Drowsiness																																																										
1347	331136	C0150312	Present	C0858353	addicted to heroin	C1864275	SCHIZOPHRENIA 6 (disorder)	C0031212	Personality Disorders	C0332128	Examined	C0019337	Heroin Dependence	C0241919	heroin withdrawal	C0442811	Very low	C3825704	Schizophrenics	C2825032	Withdrawal (dysfunction)	C0019337	Heroin Dependence																																																		
1348	330291	C0740441	Acute diarrhea	C0150312	Present	C1963091	Diarrhea Adverse Event	C0027498	Nausea and vomiting	C0000737	Abdominal Pain	C0150312	Present																																																												
1349	329333	C0085281	Addictive Behavior	C0683954	research results	C0332128	Examined	C1510472	Drug Dependence	C3242274	new therapy	C0085281	Addictive Behavior	C1510472	Drug Dependence																																																										
1350	327003	C0567085	Pain of uterus	C0026821	Muscle Cramp	C0458254	Cramping pain	C0020517	Hypersensitivity																																																																
1351	327002	C3843766	<50	C4304689	Fever with infection	C0015967	Fever	C0264222	Acute upper respiratory infection	C0015967	Fever	C0339901	Acute respiratory infections																																																												
1352	321149	C4484165	Conductivity	C4484165	Conductivity	C4484165	Conductivity																																																																		
1353	320671	C0029408	Degenerative polyarthritis	C2939150	General wellbeing	C0231218	Malaise	C0231170	Disability	C0231218	Malaise	C0231170	Disability	C2825142	Experimental Result	C1444656	Indicated	C0277786	Chief complaint (finding)																																																						
1354	318951	C0030201	Pain, Postoperative	C0344307	Absence of pain sensation	C3533236	Mean score	C0442759	3/6	C0442760	3/9	C0543488	Interested	C0582148	Pain score	C0948482	analgesic effect	C0033213	Problem																																																						
1355	318908	C2911690	Disease Controlled	C0557351	Employed	C0241311	post operative (finding)	C0683278	Mental Suffering	C0278140	Severe pain	C1444656	Indicated	C3843766	<50	C3828954	Most of the time	C0879626	Adverse effects	C0013144	Drowsiness	C0013144	Drowsiness	C3844638	Either	C0879626	Adverse effects	C0879626	Adverse effects	C0564405	Feeling relief	C0030201	Pain, Postoperative																																								
1356	301504	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation																																																																				
1357	299890	C4297007	Decrease dose	C0028778	Obstruction	C0150312	Present																																																																		
1358	210638	C0150312	Present	C1306597	Psychiatric problem	C0524662	Opiate Addiction	C0557351	Employed																																																																
1359	206078	C2239178	Newborn (finding)	C1631070	6/4.5	C0086045	Mental concentration	C3840882	5 mm	C2239178	Newborn (finding)	C2239178	Newborn (finding)	C0036572	Seizures																																																										
1360	203372	C2825142	Experimental Result																																																																						
1361	202147	C0220929	Mental tolerance	C0439857	Dependence	C0332149	Possible	C0332149	Possible	C0220929	Mental tolerance	C0001973	Alcoholic Intoxication, Chronic																																																												
1362	201426	C0029095	Opioid abuse	C0231221	Asymptomatic	C0233622	Ritual compulsion	C0150312	Present	C4313937	Pointed features	C0524662	Opiate Addiction																																																												
1363	200250																																																																								
1364	190650	C0021368	Inflammation	C0344315	Depressed mood	C0151683	Neutrophilia (finding)	C3842089	2 mm	C0344315	Depressed mood	C0004268	Attention	C0151683	Neutrophilia (finding)																																																										
1365	189228	C4050313	ROSE Cluster 2	C0423896	Feeling content	C0423896	Feeling content	C2825142	Experimental Result	C0423896	Feeling content	C0086439	Hypokinesia																																																												
1366	187406	C3843765	65+																																																																						
1367	145282	C2825142	Experimental Result	C0439857	Dependence	C1514241	Positive Finding	C2825142	Experimental Result																																																																
1368	145274	C0596002	Observation of reflex	C4068867	Pendular																																																																				
1369	140033	C3840750	Potential adverse drug interaction	C0442797	Decreasing	C1444656	Indicated	C0334094	Proliferation (morphologic abnormality)	C0423896	Feeling content	C2826293	Clinical Significance	C0011581	Depressive disorder																																																										
1370	139072	C0026837	Muscle Rigidity	C0233494	Tension	C0233494	Tension	C0150312	Present	C2825142	Experimental Result	C1273518	Responsible to																																																												
1371	84429	C0150055	Chronic pain	C0442867	malignant disease	C0234425	Level of consciousness	C1306459	Primary malignant neoplasm	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C2911690	Disease Controlled	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C1306459	Primary malignant neoplasm	C0596240	Cancer Pain																																																
1372	74199	C3843766	<50	C0086168	Dissociation	C0439857	Dependence	C0476481	Chronic intractable pain	C1963107	Euphoria Adverse Event	C0311392	Physical findings																																																												
1373	27982	C2973287	Clinical impression	C0013146	Drug abuse	C0150312	Present	C0240320	medication use	C0150312	Present	C0424790	Rigor - Temperature-associated observation																																																												
1374	27085	C0019337	Heroin Dependence	C1705232	Death Related to Adverse Event	C0009566	Complication	C0022660	Kidney Failure, Acute	C3845876	Consequent	C0035410	Rhabdomyolysis	C0027080	Myoglobinuria	C0699809	Does carry	C0278250	Prognosis good	C0684256	Bacterial sepsis	C1705232	Death Related to Adverse Event	C0334094	Proliferation (morphologic abnormality)	C0156221	Acute glomerulonephritis	C0036690	Septicemia	C0553548	Necrotizing Arteritis	C0858353	addicted to heroin	C0333497	Segmental glomerulosclerosis	C0039082	Syndrome	C0449380	Associated finding	C0022658	Kidney Diseases	C0022658	Kidney Diseases	C0150312	Present	C0033687	Proteinuria	C1963154	Renal Failure Adverse Event	C0010957	Tissue damage	C3809325	Progressive renal disorder	C0022658	Kidney Diseases	C4055086	Early Relapse	C1444662	Discontinued	C4086928	Use Heroin												
1375	25549	C0086045	Mental concentration	C0086045	Mental concentration																																																																				
1376	23021	C1955473	Others - Allergy	C3843766	<50	C3843766	<50	C0234421	Conscious	C3843766	<50	C3843765	65+	C0234421	Conscious	C4281574	Much	C0150312	Present																																																						
1377	22993	C3844638	Either	C0274281	Injury due to exposure to external cause	C0235169	Excitability	C0152128	Drug withdrawal syndrome																																																																
1378	22596	C0429478	Fetal Heart Rate Variance from Normal Baseline	C0683954	research results	C1444656	Indicated	C0429478	Fetal Heart Rate Variance from Normal Baseline	C0429478	Fetal Heart Rate Variance from Normal Baseline	C2825142	Experimental Result	C3843766	<50	C0429478	Fetal Heart Rate Variance from Normal Baseline																																																								
1379	22294	C0541782	Atrial standstill	C0549433	Surgical intervention (finding)	C0683278	Mental Suffering	C0428908	Sinus Node Dysfunction (disorder)	C1273517	Used by	C0600138	Does play	C0344315	Depressed mood	C0004377	Automatism	C0428908	Sinus Node Dysfunction (disorder)	C0428977	Bradycardia	C1963175	Sinus Bradycardia Adverse Event																																																		
1380	18553	C4055506	Accumulation	C0150312	Present	C0233660	Mental blocking	C0150312	Present	C0683370	hypermotility																																																														
1381	15949	C0235063	Respiratory Depression	C0344315	Depressed mood	C0425442	Respiratory System Finding	C2825142	Experimental Result	C0024115	Lung diseases	C0679250	Disease Outcome	C0012634	Disease	C3840775	Anticipated	C0544721	Effect of surgery	C0392008	Complication of anesthesia	C0012634	Disease	C0035229	Respiratory Insufficiency	C0517929	Muscle function outcome	C2825142	Experimental Result	C0425442	Respiratory System Finding	C0520917	Increased metabolic requirement	C2825142	Experimental Result	C0220981	Metabolic acidosis	C2825142	Experimental Result	C0678255	polydrug use	C0150034	Impaired gas exchange	C1145670	Respiratory Failure	C2825142	Experimental Result	C2825142	Experimental Result	C1565489	Renal Insufficiency																						
1382	15449	C2825142	Experimental Result	C1709157	Negative Surgical Margin	C1273517	Used by	C0344307	Absence of pain sensation	C0522165	Feeling calm	C0087169	Withdrawal Symptoms	C0858353	addicted to heroin	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C0948482	analgesic effect	C0549263	opiate withdrawal symptoms																																																		
1383	15285	C2825142	Experimental Result	C0562454	Explosive behavior	C2825142	Experimental Result	C0026837	Muscle Rigidity	C0562454	Explosive behavior	C0518609	consideration	C0425245	Mobility as a finding	C0562454	Explosive behavior																																																								
1384	14347	C1839163	THROMBOCYTOPENIA 1 (disorder)	C0489749	Rectal temperature	C0234421	Conscious	C0020672	Hypothermia, natural	C0442797	Decreasing	C1839163	THROMBOCYTOPENIA 1 (disorder)	C0220929	Mental tolerance	C0220929	Mental tolerance	C0442797	Decreasing	C2825142	Experimental Result																																																				
1385	13975																																																																								
1386	13216	C3838679	4+ Answer to question	C0150312	Present	C0596130	attribution																																																																		
1387	13200	C0021467	Psychological inhibition	C0231530	Muscle twitch	C0600688	Toxic effect	C0278080	Physical addiction	C0344315	Depressed mood																																																														
1388	1010005	C0021467	Psychological inhibition	C0558058	Reflecting																																																																				
1389	1002792	C0150312	Present																																																																						
1390	189341	C1273517	Used by	C1273517	Used by	C0270844	Tonic Seizures																																																																		
1391	998689	C0235063	Respiratory Depression	C0011570	Mental Depression	C0150312	Present	C0549206	Patient currently pregnant	C0011570	Mental Depression	C0450407	ph+	C0011570	Mental Depression	C0011570	Mental Depression																																																								
1392	13489	C0038661	Suicide	C0026605	Motivation	C0038661	Suicide	C0728899	Intoxication	C0456824	Acute drug intoxication	C0026605	Motivation	C0038661	Suicide	C0038663	Suicide attempt	C4035626	3 times	C0038663	Suicide attempt	C3843708	29+	C1444647	Wanted	C0595998	Household composition	C2985294	Fourth Stage of Labor	C0596545	Experience	C0038661	Suicide	C1254481	Patient Problem																																						
1393	982064	C0220929	Mental tolerance	C0948482	analgesic effect	C0220929	Mental tolerance	C0679052	memory process	C0039869	Thinking, function	C0023185	Learning																																																												
1394	824734	C0701159	Patient in hospital	C0342895	Fish-Eye Disease	C1514241	Positive Finding	C0001973	Alcoholic Intoxication, Chronic	C1306597	Psychiatric problem																																																														
1395	1002100	C0012634	Disease	C0010200	Coughing	C0449381	Observation parameter	C1961131	Cough Adverse Event	C0013404	Dyspnea	C0870814	liking	C0010200	Coughing	C1457887	Symptoms	C0008677	Bronchitis, Chronic	C0008677	Bronchitis, Chronic	C1961131	Cough Adverse Event																																																		
1396	1070018	C0221198	Lesion	C0344307	Absence of pain sensation																																																																				
1397	1036502	C4050313	ROSE Cluster 2	C0442797	Decreasing	C4050313	ROSE Cluster 2	C0442797	Decreasing	C0679201	Inference	C2825142	Experimental Result																																																												
1398	1035803	C0278080	Physical addiction	C0278080	Physical addiction	C2825032	Withdrawal (dysfunction)	C1457887	Symptoms	C1262477	Weight decreased	C2911645	Weight Loss Adverse Event	C2825032	Withdrawal (dysfunction)	C2825142	Experimental Result																																																								
1399	1028023	C0231162	Normal general body function	C0231303	Distress	C0311392	Physical findings	C0038272	Stereotyping	C0870509	Escape (mental process)	C0564182	Vocalization (finding)	C0750484	Confirmation	C0004442	Avoidance Learning	C0001721	Affect (mental function)	C0001721	Affect (mental function)																																																				
1400	1023959	C3843766	<50	C1720436	Under anesthesia	C0264886	Conduction disorder of the heart	C1560249	Adverse Event Associated with Cardiac Arrhythmia	C0085612	Ventricular arrhythmia	C1963277	Ventricular Arrhythmia Adverse Event NOS																																																												
1401	1023956	C2825142	Experimental Result	C0009450	Communicable Diseases	C0085668	Secondary carcinoma	C0684336	Impaired health																																																																
1402	1023951	C0232189	Alteration in heart rate (finding)	C0489749	Rectal temperature	C0427514	Right shifted white blood cells	C1140999	Contraction (finding)																																																																
1403	1023236	C3844638	Either	C0150312	Present	C0237593	Emotionality	C0150312	Present	C2825142	Experimental Result																																																														
1404	1023235	C0020175	Hunger	C3842675	Day 3	C0035397	Rewards	C3844638	Either	C0015663	Fasting	C0015663	Fasting	C2825142	Experimental Result	C2825142	Experimental Result																																																								
1405	1014276	C0871641	affection	C0155778	Varicose veins of lower extremity	C1444656	Indicated																																																																		
1406	1005689																																																																								
1407	1000129	C0036572	Seizures	C0220929	Mental tolerance	C0278080	Physical addiction																																																																		
1408	999452	C0542559	contextual factors	C0085281	Addictive Behavior	C0233494	Tension	C0564405	Feeling relief	C1963107	Euphoria Adverse Event	C0233477	Dysphoric mood	C1514241	Positive Finding	C0026516	Mood (psychological function)	C0205160	Negative	C0242510	Drug usage																																																				
1409	998679	C1510472	Drug Dependence	C3843691	Pregnancy 2	C0013146	Drug abuse	C0013146	Drug abuse	C1444656	Indicated	C0474395	Behavior showing increased motor activity	C0232989	Normal pregnancy	C3843766	<50	C0232989	Normal pregnancy	C1510472	Drug Dependence	C1295618	Increased epinephrine level	C1510472	Drug Dependence	C0232989	Normal pregnancy																																														
1410	991938	C0004268	Attention	C0429964	Dependent for dressing	C0004268	Attention	C0150312	Present																																																																
1411	991936	C1720436	Under anesthesia	C0413398	Accidental decapitation	C0677607	Hashimoto Disease																																																																		
1412	984244	C0150312	Present	C0344315	Depressed mood	C0011570	Mental Depression	C0086132	Depressive Symptoms	C0038435	Stress	C0221628	History of alcohol abuse	C0011570	Mental Depression	C1510472	Drug Dependence	C1271074	High suicide risk	C0086132	Depressive Symptoms	C0516906	use of psychotropic drugs																																																		
1413	984240	C0150312	Present	C0460139	Pressure (finding)	C3844638	Either	C0013146	Drug abuse	C0013146	Drug abuse	C0001721	Affect (mental function)	C0460139	Pressure (finding)	C1273517	Used by	C0026605	Motivation	C0026605	Motivation																																																				
1414	827783	C0184511	Improved	C1273517	Used by	C0150312	Present	C1273517	Used by																																																																
1415	826368	C0018801	Heart failure	C0277785	Functional disorder	C0013604	Edema	C0436331	Symptom aggravating factors	C1457887	Symptoms	C0007166	Low Cardiac Output	C0020651	Hypotension, Orthostatic	C0162643	treatment failure	C0018801	Heart failure																																																						
1416	191169																																																																								
1417	187095	C1273518	Responsible to	C0935620	Emotional states	C1273518	Responsible to	C0344315	Depressed mood	C0579142	Overdose of opiate	C0036572	Seizures	C0009421	Comatose	C0344315	Depressed mood	C0278080	Physical addiction																																																						
1418	186283	C0684000	class differences	C0012632	Discrimination (process of differentiation)																																																																				
1419	20303	C2825142	Experimental Result																																																																						
1420	15537	C0086045	Mental concentration	C0332128	Examined	C0086045	Mental concentration	C0151576	Elevated creatine kinase	C0086045	Mental concentration																																																														
1421	13751	C0445223	Related personal status	C0086045	Mental concentration	C0449381	Observation parameter	C0425382	Personal status - Adopted	C4033634	Blood Indices	C0425382	Personal status - Adopted	C4033634	Blood Indices	C0425382	Personal status - Adopted																																																								
1422	12548	C0278080	Physical addiction	C1444656	Indicated	C2825032	Withdrawal (dysfunction)	C0278080	Physical addiction	C0439857	Dependence																																																														
1423	982058	C3844638	Either																																																																						
1424	1032578	C0600138	Does play	C1299586	Has difficulty doing (qualifier value)																																																																				
1425	1013687	C0401151	Chronic diarrhea	C0178238	Intestinal infectious disease (disorder)	C1963091	Diarrhea Adverse Event	C0740441	Acute diarrhea	C0401151	Chronic diarrhea	C0879626	Adverse effects	C1514241	Positive Finding																																																										
1426	1086942	C1444662	Discontinued	C0030201	Pain, Postoperative	C3844638	Either	C0460139	Pressure (finding)																																																																
1427	11121	C2825032	Withdrawal (dysfunction)																																																																						
1428	826964	C0036974	Shock	C3840786	Greatly	C0036974	Shock	C0036974	Shock																																																																
1429	826955	C4288557	One Activity Hour	C0278080	Physical addiction	C0026552	Morphine Dependence	C0278080	Physical addiction	C2911645	Weight Loss Adverse Event	C2825032	Withdrawal (dysfunction)	C0311392	Physical findings	C0278080	Physical addiction	C0026552	Morphine Dependence	C0311392	Physical findings	C0439857	Dependence	C0311392	Physical findings																																																
1430	826950	C0012632	Discrimination (process of differentiation)	C0870186	avoidance	C0948482	analgesic effect	C0012632	Discrimination (process of differentiation)	C0012632	Discrimination (process of differentiation)	C1527402	Narcotic Dependence																																																												
1431	825242	C0086168	Dissociation	C0150312	Present	C3843766	<50	C0150312	Present	C0439857	Dependence	C0220929	Mental tolerance																																																												
1432	990784	C0004063	Assault	C1955473	Others - Allergy	C4068542	Alveolar ventilation	C0332155	Did not receive therapy or drug for	C0235063	Respiratory Depression	C0011570	Mental Depression																																																												
1433	185695	C2825142	Experimental Result	C0235195	Sedated state	C0007370	Catalepsy	C3843765	65+	C0445223	Related personal status	C2825142	Experimental Result																																																												
1434	185694	C0026837	Muscle Rigidity	C0231441	Immobile	C0007398	Catatonia	C0030193	Pain	C0040822	Tremor	C0020672	Hypothermia, natural	C0015967	Fever	C0004936	Mental disorders																																																								
1435	1034533	C0278080	Physical addiction	C0311392	Physical findings	C0005904	Body Temperature Changes	C0439857	Dependence	C1518681	Outcome of Therapy	C3838679	4+ Answer to question	C0026552	Morphine Dependence	C0278080	Physical addiction	C0026552	Morphine Dependence																																																						
1436	1034170	C0241919	heroin withdrawal	C0012634	Disease																																																																				
1437	1033701	C1167782	Lung hyperinflation	C0700292	Hypoxemia	C0014518	Toxic Epidermal Necrolysis	C0489749	Rectal temperature	C1301655	Minute ventilation	C1272641	Systemic arterial pressure	C0700292	Hypoxemia																																																										
1438	1033695	C0150312	Present	C0004063	Assault	C0004063	Assault	C3838679	4+ Answer to question																																																																
1439	1027256	C0596002	Observation of reflex	C0423896	Feeling content																																																																				
1440	1024831	C0086045	Mental concentration	C0449381	Observation parameter	C0004268	Attention																																																																		
1441	1022536	C0234447	Narcosis	C0428886	Mean blood pressure	C0150312	Present	C0234447	Narcosis	C0234447	Narcosis	C1268766	Blood pressure alteration (finding)																																																												
1442	1015603	C1962977	Pain NOS Adverse Event	C3843262	Line 5	C0034770	Mental Recall	C1962977	Pain NOS Adverse Event	C1960160	Constant pain	C0278140	Severe pain																																																												
1443	1014243	C2937255	hours of sleep																																																																						
1444	1008021	C0340221	Obstruction of trachea																																																																						
1445	1008020	C0162323	Polyarthritis																																																																						
1446	1003408	C0150312	Present	C0150312	Present	C0850310	Possessed	C0150312	Present	C1299583	Independently able	C0600138	Does play	C2825142	Experimental Result	C0850310	Possessed																																																								
1447	999763	C0011570	Mental Depression	C0235063	Respiratory Depression	C0235063	Respiratory Depression																																																																		
1448	999367	C0849791	sinus drainage	C0003840	Physiologic Health: Arterial pH																																																																				
1449	999220	C0013146	Drug abuse	C0150312	Present	C0679836	diagnostic problem	C1558916	Adverse Event Associated with Syndromes	C1558916	Adverse Event Associated with Syndromes	C0013146	Drug abuse	C0027765	nervous system disorder	C0150312	Present	C0004268	Attention	C0683836	Source of information	C0015663	Fasting	C0009421	Comatose																																																
1450	994006	C2825142	Experimental Result																																																																						
1451	994002																																																																								
1452	991922	C0150312	Present																																																																						
1453	990981	C0562342	Empowered	C0475812	General anesthesia - under adequate anesthesia	C0412771	Spontaneous respiration	C0445223	Related personal status																																																																
1454	990661	C0449416	Source	C0237607	Practice Experience	C0150312	Present	C3843397	20-24	C0449416	Source																																																														
1455	988178	C0038587	Substance Withdrawal Syndrome	C1140999	Contraction (finding)	C0007758	Cerebellar Ataxia	C0011581	Depressive disorder	C2825142	Experimental Result	C2825142	Experimental Result																																																												
1456	984229	C0004268	Attention	C3533236	Mean score																																																																				
1457	980601	C0559473	maternal history	C0013146	Drug abuse	C0015934	Fetal Growth Retardation	C0024032	Low Birth Weights	C0600241	heroin abuse	C3840692	Before pregnancy	C1273517	Used by	C0015934	Fetal Growth Retardation	C0085281	Addictive Behavior																																																						
1458	978496	C0344315	Depressed mood	C0011570	Mental Depression	C0235063	Respiratory Depression	C0027497	Nausea	C0042963	Vomiting	C0020651	Hypotension, Orthostatic	C0233477	Dysphoric mood																																																										
1459	978493	C0150312	Present	C2825142	Experimental Result	C2825142	Experimental Result																																																																		
1460	978492	C0948482	analgesic effect	C0036974	Shock	C2825142	Experimental Result	C4281574	Much	C2825142	Experimental Result	C1709157	Negative Surgical Margin	C0948482	analgesic effect																																																										
1461	978491	C0013220	Drug Tolerance	C1273517	Used by	C0332155	Did not receive therapy or drug for																																																																		
