	PMID	CUI1	PTerm1	CUI2	PTerm2	CUI3	PTerm3	CUI4	PTerm4	CUI5	PTerm5	CUI6	PTerm6	CUI7	PTerm7	CUI8	PTerm8	CUI9	PTerm9	CUI10	PTerm10	CUI11	PTerm11	CUI12	PTerm12	CUI13	PTerm13	CUI14	PTerm14	CUI15	PTerm15	CUI16	PTerm16	CUI17	PTerm17	CUI18	PTerm18	CUI19	PTerm19	CUI20	PTerm20	CUI21	PTerm21	CUI22	PTerm22	CUI23	PTerm23	CUI24	PTerm24	CUI25	PTerm25	CUI26	PTerm26	CUI27	PTerm27	CUI28	PTerm28	CUI29	PTerm29	CUI30	PTerm30	CUI31	PTerm31	CUI32	PTerm32	CUI33	PTerm33	CUI34	PTerm34	CUI35	PTerm35	CUI36	PTerm36	CUI37	PTerm37	CUI38	PTerm38	CUI39	PTerm39	CUI40	PTerm40	CUI41	PTerm41	CUI42	PTerm42	CUI43	PTerm43	CUI44	PTerm44	CUI45	PTerm45	CUI46	PTerm46
5744	6282818	C0012632	Discrimination (process of differentiation)	C1962977	Pain NOS Adverse Event	C0013987	Emotions	C0162340	Comprehension	C1962977	Pain NOS Adverse Event	C0013987	Emotions	C0013220	Drug Tolerance	C2825032	Withdrawal (dysfunction)																																																																												
5745	6282817	C0233413	Attentiveness	C0003808	Arousal	C0003467	Anxiety	C0015726	Fear (Mental Process)	C0086439	Hypokinesia	C3274502	Opiate Withdrawal Syndrome	C4304523	Withdrawal sign	C1457887	Symptoms	C0162340	Comprehension																																																																										
5746	6282816	C0338791	Psychoactive substance-induced organic withdrawal	C0424295	Hyperactive behavior	C0311392	Physical findings	C0549263	opiate withdrawal symptoms																																																																																				
5747	6281389	C0442804	Very high	C0150312	Present																																																																																								
5748	6181455	C0030201	Pain, Postoperative	C0344307	Absence of pain sensation	C0086045	Mental concentration	C0344307	Absence of pain sensation	C0184567	Acute onset pain																																																																																		
5749	6180474	C0220929	Mental tolerance	C0220929	Mental tolerance	C0150312	Present	C0677607	Hashimoto Disease	C0677607	Hashimoto Disease	C2825142	Experimental Result	C0220929	Mental tolerance	C0220929	Mental tolerance																																																																												
5750	6178169	C0221773	Hyperamylasemia	C0150312	Present	C0449416	Source																																																																																						
5751	6125953	C0013987	Emotions	C0150312	Present	C0038435	Stress	C1384607	Food deprivation	C0332149	Possible	C0600138	Does play																																																																																
5752	6123336	C0235063	Respiratory Depression	C0235063	Respiratory Depression																																																																																								
5753	7109826	C0442768	20/1200	C3843766	<50	C0021467	Psychological inhibition	C1444656	Indicated	C0543488	Interested																																																																																		
5754	6287134	C1518681	Outcome of Therapy	C0234428	Disturbance of consciousness	C2825142	Experimental Result																																																																																						
5755	7110629	C2712122	Normal blood pressure	C2712122	Normal blood pressure	C1271104	Blood pressure finding	C0020649	Hypotension	C0857121	Hypertensive (finding)	C2712122	Normal blood pressure																																																																																
5756	7106174	C0001916	Albinism	C0026961	Mydriasis	C0728710	Pupil constriction observed	C0596012	Does reach	C0596012	Does reach	C0728710	Pupil constriction observed	C0026961	Mydriasis	C2825142	Experimental Result																																																																												
5757	6284229	C0017638	Glioma	C1444656	Indicated	C0332128	Examined	C0001721	Affect (mental function)	C0524637	Recognition (Psychology)																																																																																		
5758	6285104	C4284035	Partial Response with Lymphocytosis	C1554187	Gender Status - Intact	C4284035	Partial Response with Lymphocytosis	C4284035	Partial Response with Lymphocytosis	C0153064	Encephalomyelitis, Western Equine	C4284035	Partial Response with Lymphocytosis	C4284035	Partial Response with Lymphocytosis	C4284035	Partial Response with Lymphocytosis																																																																												
5759	6124916	C2825142	Experimental Result	C0235169	Excitability	C0004268	Attention	C0595938	effect increased	C2825142	Experimental Result																																																																																		
5760	6124860	C0332128	Examined	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C1821461	Close Relationship	C0344307	Absence of pain sensation	C0332128	Examined	C0344307	Absence of pain sensation																																																																												
5761	7104014	C0150312	Present	C0013221	Drug toxicity																																																																																								
5762	7082488	C0423896	Feeling content	C0423896	Feeling content	C0423896	Feeling content																																																																																						
5763	7048037	C3844638	Either	C1331418	Comfort	C1273517	Used by																																																																																						
5764	6285928	C0332128	Examined	C0162429	Malnutrition	C0150312	Present	C0870868	mediated responses																																																																																				
5765	6282295	C1561643	Chronic Kidney Diseases																																																																																										
5766	7081432	C1518681	Outcome of Therapy	C1720436	Under anesthesia	C3843766	<50	C3843766	<50	C0344307	Absence of pain sensation																																																																																		
5767	6954337	C0274281	Injury due to exposure to external cause	C1319127	Level of stress	C0442797	Decreasing	C0332128	Examined	C2825142	Experimental Result																																																																																		
5768	6124856	C0220929	Mental tolerance	C0332128	Examined	C0449381	Observation parameter	C0332128	Examined	C0680844	estimation <subjective>	C0220929	Mental tolerance	C0220929	Mental tolerance	C0948482	analgesic effect	C0220929	Mental tolerance																																																																										
5769	6284530	C2825142	Experimental Result	C0429964	Dependent for dressing																																																																																								
5770	6124436	C0423896	Feeling content	C0423896	Feeling content	C3843766	<50	C0150312	Present	C0150312	Present																																																																																		
5771	7093688	C0086168	Dissociation																																																																																										
5772	7093687	C0036572	Seizures	C4281574	Much	C3840786	Greatly	C1318963	Readiness																																																																																				
5773	6281605	C0424295	Hyperactive behavior	C0085631	Agitation	C0683370	hypermotility	C0424295	Hyperactive behavior	C0562454	Explosive behavior	C0562454	Explosive behavior	C0562454	Explosive behavior	C0237677	insensitivity																																																																												
5774	6281604	C0332128	Examined																																																																																										
5775	7202125	C0344315	Depressed mood	C0007370	Catalepsy																																																																																								
5776	7131617	C1535939	Pneumocystis jiroveci pneumonia	C0013146	Drug abuse	C0236729	PCP intoxication	C0150312	Present	C1457887	Symptoms	C0036341	Schizophrenia	C0011253	Delusions	C0018524	Hallucinations	C0564408	Manic mood	C0042693	Violence	C0007398	Catatonia	C0038271	Stereotyped Behavior	C0020538	Hypertensive disease	C0009421	Comatose	C0236729	PCP intoxication	C1535939	Pneumocystis jiroveci pneumonia	C1535939	Pneumocystis jiroveci pneumonia	C0600688	Toxic effect	C1535939	Pneumocystis jiroveci pneumonia	C0085631	Agitation	C0871189	Psychotic symptom	C1535939	Pneumocystis jiroveci pneumonia	C0150312	Present	C0231217	Multiple symptoms	C0456824	Acute drug intoxication	C1535939	Pneumocystis jiroveci pneumonia	C0231217	Multiple symptoms	C0236729	PCP intoxication																																				
5777	7110376	C1720436	Under anesthesia	C1868864	Dilatation of the renal pelvis	C0429768	Renal pelvis pressure	C0012359	Pathological Dilatation	C0428886	Mean blood pressure	C0012359	Pathological Dilatation	C1273517	Used by	C0152169	Renal Colic	C0474710	Depth of anesthesia	C0150312	Present	C1868864	Dilatation of the renal pelvis	C1720436	Under anesthesia	C0012359	Pathological Dilatation	C1720436	Under anesthesia	C0152169	Renal Colic																																																														
5778	7110115	C0086168	Dissociation	C3843766	<50	C0086045	Mental concentration	C0086168	Dissociation	C1446409	Positive	C0086045	Mental concentration	C0086045	Mental concentration																																																																														
5779	7109643	C1961131	Cough Adverse Event	C0423896	Feeling content	C3843398	15-19	C1273517	Used by	C1961131	Cough Adverse Event	C1706307	Irritation (finding)	C1706307	Irritation (finding)	C1961131	Cough Adverse Event																																																																												
5780	7109557	C0029944	Drug Overdose	C0086045	Mental concentration	C0442748	6/4	C0442726	Detected (finding)																																																																																				
5781	7109550	C1546956	Patient Outcome - Died	C0043252	Gunshot wound	C1546956	Patient Outcome - Died	C0043255	Wounds, Stab	C0013146	Drug abuse	C0016542	Foreign Bodies	C0235557	Pulmonary granuloma	C2825141	Experimental Finding	C0013146	Drug abuse																																																																										
5782	7107092	C4033634	Blood Indices	C0242510	Drug usage	C0558058	Reflecting	C0589120	Follow-up status	C1514241	Positive Finding	C1514241	Positive Finding	C0589120	Follow-up status																																																																														
5783	7107090	C0700285	Drug addict	C2825142	Experimental Result	C0424530	Absences finding	C0424530	Absences finding	C2825142	Experimental Result	C2825142	Experimental Result	C0700285	Drug addict																																																																														
5784	7107089	C1273517	Used by	C0038122	Staff Attitude	C0150312	Present	C1444775	Sharp sensation quality	C0233495	Feeling mixed emotions	C0332149	Possible																																																																																
5785	7104858	C1963252	Tremor Adverse Event	C0518609	consideration																																																																																								
5786	7103040	C1962977	Pain NOS Adverse Event	C0004268	Attention	C0038435	Stress																																																																																						
5787	7103030	C1273517	Used by	C1273517	Used by	C0687133	Drug Interactions	C0150312	Present	C0332128	Examined	C0687133	Drug Interactions	C0879626	Adverse effects																																																																														
5788	7101282	C1720436	Under anesthesia	C0418416	Pinched	C0700231	Does bend	C0857494	Unresponsive to stimuli	C0013126	Intrinsic drive																																																																																		
5789	7099358	C0460089	Duration of gestation	C0549206	Patient currently pregnant	C1135241	Weeks pregnant	C0086045	Mental concentration	C0150312	Present	C0086045	Mental concentration	C0442726	Detected (finding)	C2825142	Experimental Result	C0543488	Interested	C0549263	opiate withdrawal symptoms																																																																								
5790	7095128	C0030193	Pain	C3670514	Tail twitching	C0948482	analgesic effect	C0020429	Hyperalgesia	C0086045	Mental concentration	C0562342	Empowered																																																																																
5791	7094501	C3842672	Day 7	C0036916	Sexually Transmitted Diseases	C0036916	Sexually Transmitted Diseases	C0030201	Pain, Postoperative	C2911690	Disease Controlled	C2911690	Disease Controlled	C0556025	Injecting drug user	C0020440	Hypercapnia	C0546884	Hypovolemia																																																																										
5792	7094500	C0036916	Sexually Transmitted Diseases	C0036916	Sexually Transmitted Diseases	C0030201	Pain, Postoperative	C0556025	Injecting drug user																																																																																				
5793	7089032	C0036572	Seizures	C3844638	Either	C1720776	Kindling, Neurologic	C1843013	Alzheimer disease, familial, type 3	C0009024	Clonus	C0009024	Clonus	C0085639	Falls	C0036572	Seizures	C0038454	Cerebrovascular accident	C1959629	Seizure Adverse Event	C0036572	Seizures	C0751495	Seizures, Focal																																																																				
5794	7084649	C2360800	Number of patients	C0231218	Malaise																																																																																								
5795	7082534																																																																																												
5796	7082532	C1273517	Used by	C0087136	Unmarried	C0442757	3/4	C2985268	Stage of Labor	C1446409	Positive																																																																																		
5797	7076638	C0151878	Prolonged QT interval	C1705232	Death Related to Adverse Event	C0003811	Cardiac Arrhythmia	C0344315	Depressed mood	C0038586	Substance Use Disorders	C0151878	Prolonged QT interval	C0344315	Depressed mood	C0344315	Depressed mood	C0151878	Prolonged QT interval	C0003811	Cardiac Arrhythmia	C0876994	Cardiotoxicity	C0876994	Cardiotoxicity																																																																				
5798	7075793	C0013220	Drug Tolerance	C0237607	Practice Experience	C0013220	Drug Tolerance	C0013220	Drug Tolerance	C0013220	Drug Tolerance	C0684309	Disease model	C0009649	Conditioning, Classical	C1325846	nonassociative learning	C1325846	nonassociative learning	C0013220	Drug Tolerance	C0262512	History of present illness	C0013220	Drug Tolerance	C0542559	contextual factors	C0013220	Drug Tolerance	C0009649	Conditioning, Classical	C0542559	contextual factors	C0009649	Conditioning, Classical	C0013220	Drug Tolerance	C0150312	Present	C0150312	Present	C0001721	Affect (mental function)	C0010278	Craniosynostosis	C0001721	Affect (mental function)	C0013220	Drug Tolerance																																												
5799	7074893	C0332219	Easy	C0086045	Mental concentration	C0442726	Detected (finding)	C1273517	Used by																																																																																				
5800	7073925	C3843766	<50	C0344315	Depressed mood	C0344315	Depressed mood	C2825142	Experimental Result																																																																																				
5801	7073917	C0344307	Absence of pain sensation	C0553700	Actual blood loss	C0553700	Actual blood loss	C0344307	Absence of pain sensation	C0032788	Postoperative Hemorrhage	C0442797	Decreasing																																																																																
5802	7073154	C0854135	Pseudomonas aeruginosa infection	C1457887	Symptoms	C0241310	Suprapubic pain	C0239783	Inguinal pain	C1962977	Pain NOS Adverse Event	C0003864	Arthritis																																																																																
5803	7072998	C0856669	neonatal effect nos	C3843766	<50	C0001721	Affect (mental function)																																																																																						
5804	7072853	C0150312	Present	C0683317	activity level	C0003125	Anorexia Nervosa	C0041667	Underweight	C0003125	Anorexia Nervosa	C0041667	Underweight	C0683317	activity level	C0445223	Related personal status	C1262477	Weight decreased	C0474395	Behavior showing increased motor activity	C1262477	Weight decreased	C2911645	Weight Loss Adverse Event	C0445223	Related personal status	C0003125	Anorexia Nervosa																																																																
5805	7071350	C0235195	Sedated state	C0150312	Present	C0009566	Complication	C0009566	Complication	C0235195	Sedated state																																																																																		
5806	7047043	C0518014	Hematocrit level	C0038435	Stress	C3840775	Anticipated	C0425710	Peripheral perfusion	C0162340	Comprehension	C0004268	Attention																																																																																
5807	7043713	C0410013	Soft tissue lesion	C0029408	Degenerative polyarthritis	C0879626	Adverse effects																																																																																						
5808	7043181	C0150312	Present	C0237607	Practice Experience	C1720436	Under anesthesia	C0413398	Accidental decapitation	C0413398	Accidental decapitation	C0150312	Present	C0449381	Observation parameter	C1287347	Finding of serum electrolyte levels	C0003130	Anoxia	C0588008	Severe depression	C0003130	Anoxia	C0235063	Respiratory Depression	C0597396	respiratory hypoxia	C0344315	Depressed mood	C0428977	Bradycardia	C0740394	Hyperuricemia	C0020456	Hyperglycemia	C0085681	Hyperphosphatemia (disorder)																																																								
5809	7042396	C3825893	Operant behavior	C0442797	Decreasing	C1273517	Used by	C0086439	Hypokinesia	C1444656	Indicated	C0442797	Decreasing	C0442797	Decreasing																																																																														
5810	7042395	C0012632	Discrimination (process of differentiation)	C0012632	Discrimination (process of differentiation)	C0150312	Present	C0012632	Discrimination (process of differentiation)	C0558058	Reflecting	C3838679	4+ Answer to question	C0558058	Reflecting																																																																														
5811	6954484	C0026552	Morphine Dependence	C0026552	Morphine Dependence	C0038587	Substance Withdrawal Syndrome	C0162340	Comprehension																																																																																				
5812	6896151	C1962977	Pain NOS Adverse Event	C0566690	Vaginal delivery (finding)	C0543488	Interested																																																																																						
5813	6896150	C0596545	Experience	C0543488	Interested	C0235063	Respiratory Depression	C0235063	Respiratory Depression	C3838679	4+ Answer to question	C0235063	Respiratory Depression	C0596545	Experience	C0235063	Respiratory Depression	C0476407	Reduced ventilatory capacity																																																																										
5814	6889583																																																																																												
5815	6811105	C0034013	Precocious Puberty	C0558058	Reflecting	C1628325	Pre-pubertal	C0274281	Injury due to exposure to external cause	C0747979	Increased prolactin level																																																																																		
5816	6805358	C2825141	Experimental Finding	C3843766	<50	C3843766	<50	C1444656	Indicated	C0231835	Tachypnea																																																																																		
5817	6803201	C0241863	diabetic	C0152020	Gastroparesis	C0267112	Acute gastric mucosal erosion	C2010560	Hemorrhagic gastritis	C1527402	Narcotic Dependence	C0015934	Fetal Growth Retardation	C0015934	Fetal Growth Retardation	C0341950	Severe pre-eclampsia	C0866323	Severe toxemia	C1514241	Positive Finding	C0429631	Nitrogen balance	C0020538	Hypertensive disease	C1135241	Weeks pregnant	C0017152	Gastritis																																																																
5818	6763202	C0040456	Impacted tooth	C0040456	Impacted tooth	C0030201	Pain, Postoperative	C0879626	Adverse effects	C0567305	Finding of menstrual bleeding	C1273517	Used by	C0030193	Pain	C0948482	analgesic effect	C1273517	Used by	C3533236	Mean score	C0312418	Personality Sensitivity	C0879626	Adverse effects	C0879626	Adverse effects	C1273517	Used by																																																																
5819	6750568	C0150312	Present	C0041667	Underweight	C0041667	Underweight	C0150312	Present																																																																																				
5820	6750566	C0039869	Thinking, function	C0541749	Does turn (finding)	C1273517	Used by	C0150312	Present	C3687559	Ovariectomized female	C0001721	Affect (mental function)	C0332155	Did not receive therapy or drug for	C0683954	research results																																																																												
5821	6461279	C3843708	29+	C2825142	Experimental Result	C2825142	Experimental Result	C0038435	Stress	C2826293	Clinical Significance	C3843156	Less often	C0332219	Easy																																																																														
5822	6289281	C3844638	Either																																																																																										
5823	6289279	C0683954	research results	C0450407	ph+	C0450407	ph+	C1273518	Responsible to																																																																																				
5824	6288596	C0344307	Absence of pain sensation	C4035627	2 times	C0086168	Dissociation	C3844638	Either	C0850310	Possessed																																																																																		
5825	6287333	C4022575	Inertia																																																																																										
5826	6287305	C0086168	Dissociation																																																																																										
5827	6287304	C0004268	Attention	C2825142	Experimental Result	C0332128	Examined	C0004268	Attention	C0600138	Does play	C0274281	Injury due to exposure to external cause																																																																																
5828	6287193	C1273517	Used by	C0086168	Dissociation	C4281574	Much	C0039869	Thinking, function																																																																																				
5829	6287114	C0086045	Mental concentration	C4281574	Much	C0231530	Muscle twitch																																																																																						
5830	6284316	C3840892	Day 4	C0600138	Does play																																																																																								
5831	6283579	C0020505	Hyperphagia	C0028754	Obesity	C0028754	Obesity	C2825141	Experimental Finding	C0028754	Obesity																																																																																		
5832	6283568	C0150312	Present	C0004268	Attention	C0004268	Attention	C0556347	Drinking day	C0556338	Drinker	C2825142	Experimental Result	C0332149	Possible																																																																														
5833	6283566	C0036239	Satiation																																																																																										
5834	6283555	C0392674	Exhaustion	C0449878	Mount used	C0558058	Reflecting																																																																																						
5835	6281415	C1518681	Outcome of Therapy	C0036974	Shock	C3844638	Either	C0036974	Shock	C3840786	Greatly	C1273517	Used by	C3844638	Either	C0425422	restricted diet	C0332128	Examined	C0344307	Absence of pain sensation	C0020429	Hyperalgesia	C0274281	Injury due to exposure to external cause	C0948482	analgesic effect	C0560453	Does jump	C0020429	Hyperalgesia	C1384607	Food deprivation																																																												
5836	6281413	C0442739	No status change	C0442811	Very low	C0150312	Present	C3845238	Reentry	C2825142	Experimental Result																																																																																		
5837	6281410	C1273517	Used by	C4297007	Decrease dose	C0442797	Decreasing	C0460139	Pressure (finding)	C1140999	Contraction (finding)	C0460139	Pressure (finding)																																																																																
5838	6281084	C0012632	Discrimination (process of differentiation)	C0017326	Generalization, Stimulus	C1273517	Used by	C0017326	Generalization, Stimulus	C1535939	Pneumocystis jiroveci pneumonia	C1331418	Comfort	C0332219	Easy	C1299586	Has difficulty doing (qualifier value)	C1535939	Pneumocystis jiroveci pneumonia	C1535939	Pneumocystis jiroveci pneumonia																																																																								
5839	6214227	C0086045	Mental concentration	C4281574	Much	C0450407	ph+	C0004268	Attention																																																																																				
5840	6181489	C0037929	Spinal Cord Injuries	C1272641	Systemic arterial pressure	C0043251	Wounds and Injuries	C0332155	Did not receive therapy or drug for	C1273518	Responsible to	C0010957	Tissue damage	C0150312	Present	C0010957	Tissue damage	C0332128	Examined	C0184512	Stabilized (qualifier value)	C1273518	Responsible to	C3263723	Traumatic injury																																																																				
5841	6180671	C3494939	Talc embolism	C1335760	Resected Mass	C2825142	Experimental Result	C0035320	Retinal Neovascularization	C0013922	Embolism	C0423216	Globe finding																																																																																
5842	6180353	C0680844	estimation <subjective>	C0162703	Pain Threshold	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C2825142	Experimental Result	C0220929	Mental tolerance	C0948482	analgesic effect	C0220929	Mental tolerance	C0677607	Hashimoto Disease	C0948482	analgesic effect	C2825142	Experimental Result	C0600138	Does play	C0948482	analgesic effect																																																																		
5843	6180330	C0344315	Depressed mood	C0011570	Mental Depression	C0011570	Mental Depression	C3843766	<50	C0011570	Mental Depression	C0439044	Living Alone	C0021467	Psychological inhibition	C0011570	Mental Depression																																																																												
5844	6176696																																																																																												
5845	6126866	C0344307	Absence of pain sensation	C0948482	analgesic effect	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C1962977	Pain NOS Adverse Event																																																																														
5846	6126864	C0001721	Affect (mental function)	C0150312	Present	C0001721	Affect (mental function)																																																																																						
5847	6125915	C1709157	Negative Surgical Margin	C2825142	Experimental Result	C3842090	1 mm	C1444656	Indicated	C1272708	Outcome of action	C0474395	Behavior showing increased motor activity	C1838994	Rapid onset	C2984079	Somewhat	C0274281	Injury due to exposure to external cause	C3842090	1 mm	C0150312	Present																																																																						
5848	6125355	C1273517	Used by	C0086045	Mental concentration	C1444656	Indicated	C0546816	Persistence																																																																																				
5849	6124969	C0150312	Present	C0086045	Mental concentration	C0086045	Mental concentration	C0150312	Present	C0557314	Number of pupils in class	C0557314	Number of pupils in class	C0150312	Present																																																																														
5850	6124285	C3841937	Clean-up	C3841937	Clean-up	C0150312	Present	C0850310	Possessed																																																																																				
5851	6122613	C0086168	Dissociation	C0086168	Dissociation	C1273517	Used by	C0684320	Disease regression	C0086168	Dissociation																																																																																		
5852	6122491	C0020538	Hypertensive disease	C0043012	Wakefulness	C0699809	Does carry	C0150312	Present	C0020538	Hypertensive disease	C1955473	Others - Allergy	C0020538	Hypertensive disease	C2825142	Experimental Result																																																																												
5853	7087676	C4288557	One Activity Hour																																																																																										
5854	6812876	C2712122	Normal blood pressure	C1720436	Under anesthesia	C0428886	Mean blood pressure	C0020649	Hypotension	C0857353	Hypotensive	C0428977	Bradycardia	C0857353	Hypotensive	C0001721	Affect (mental function)	C0428977	Bradycardia	C0857353	Hypotensive																																																																								
5855	6283293	C4281574	Much	C4281574	Much	C0344307	Absence of pain sensation	C0948482	analgesic effect	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation																																																																												
5856	6283292	C0026552	Morphine Dependence	C0150312	Present																																																																																								
5857	7200260	C0029944	Drug Overdose	C0858353	addicted to heroin	C0013220	Drug Tolerance	C2825142	Experimental Result	C0009647	Conditioning (Psychology)	C0001721	Affect (mental function)																																																																																
5858	7071592	C0677874	In complete remission	C0023185	Learning	C0009647	Conditioning (Psychology)	C0023185	Learning	C0679070	unconditioned response	C0679070	unconditioned response																																																																																
5859	7069878	C1290955	drug dependent	C0014518	Toxic Epidermal Necrolysis	C1444662	Discontinued	C0580352	Treatment completed	C0237607	Practice Experience	C0596545	Experience	C0589120	Follow-up status																																																																														
5860	7047177	C2825142	Experimental Result	C2825142	Experimental Result	C0036974	Shock	C2825142	Experimental Result																																																																																				
5861	7047176	C2825142	Experimental Result	C0344307	Absence of pain sensation	C0150312	Present																																																																																						
5862	6284523	C0332128	Examined																																																																																										
5863	6284522	C1140999	Contraction (finding)	C3844638	Either	C3844638	Either																																																																																						
5864	6177380	C0677505	Behaviors and observations relating to behavior	C0392703	Shakes																																																																																								
5865	7201058	C0026552	Morphine Dependence	C2825032	Withdrawal (dysfunction)	C0332128	Examined	C0026552	Morphine Dependence	C0038435	Stress	C2825032	Withdrawal (dysfunction)	C0038435	Stress	C0311392	Physical findings	C0220929	Mental tolerance	C0026552	Morphine Dependence																																																																								
5866	7087672	C4518791	Opiate tolerance	C0332128	Examined	C0680844	estimation <subjective>	C0332128	Examined																																																																																				
5867	6283289	C0150312	Present	C0001721	Affect (mental function)																																																																																								
5868	6283437	C0026837	Muscle Rigidity	C0026837	Muscle Rigidity	C0026837	Muscle Rigidity	C0026837	Muscle Rigidity	C0026837	Muscle Rigidity	C0026837	Muscle Rigidity	C0026837	Muscle Rigidity	C0026837	Muscle Rigidity	C0026837	Muscle Rigidity	C0858572	Limb rigidity																																																																								
5869	7083004	C0012632	Discrimination (process of differentiation)																																																																																										
5870	7083001	C1273517	Used by	C0948482	analgesic effect	C0948482	analgesic effect	C1962977	Pain NOS Adverse Event																																																																																				
5871	7074490	C0085281	Addictive Behavior	C0425245	Mobility as a finding	C0555047	Married (finding)	C0683278	Mental Suffering	C1962977	Pain NOS Adverse Event	C0015672	Fatigue	C2937246	Overwork (finding)	C0024841	Marriage, life event	C1299586	Has difficulty doing (qualifier value)	C0085281	Addictive Behavior	C0237607	Practice Experience	C0011570	Mental Depression	C0004936	Mental disorders																																																																		
5872	7041650	C2826293	Clinical Significance	C3844638	Either	C0848898	Neonatal morbidity	C0018811	Heart Rate, Fetal	C3806166	Poor outcome																																																																																		
5873	7087665	C0015967	Fever	C0020672	Hypothermia, natural	C0015967	Fever	C0015967	Fever	C0015967	Fever	C0015967	Fever	C0015967	Fever	C2825142	Experimental Result	C0015967	Fever	C0600138	Does play																																																																								
5874	7087664	C0600457	Gravidity	C3843766	<50	C2825142	Experimental Result																																																																																						
5875	7079142	C3844638	Either	C0241311	post operative (finding)	C1260922	Abnormal breathing	C0241311	post operative (finding)	C1260922	Abnormal breathing																																																																																		
5876	7200381	C2825142	Experimental Result	C1720776	Kindling, Neurologic	C0014544	Epilepsy	C1720776	Kindling, Neurologic	C0036572	Seizures	C0036572	Seizures	C0425946	Short menstrual periods	C0038454	Cerebrovascular accident	C0344315	Depressed mood	C0036572	Seizures	C3844638	Either	C0220929	Mental tolerance	C0036572	Seizures	C2825142	Experimental Result	C0036572	Seizures	C0007370	Catalepsy	C0036572	Seizures	C1720776	Kindling, Neurologic																																																								
5877	7084303	C0344307	Absence of pain sensation	C0015967	Fever	C3840892	Day 4	C2825142	Experimental Result	C0220929	Mental tolerance	C0015967	Fever	C3840892	Day 4	C0220929	Mental tolerance	C0015967	Fever	C0015967	Fever	C0220929	Mental tolerance																																																																						
5878	6282596	C0086168	Dissociation	C0150312	Present	C0150312	Present	C2825142	Experimental Result	C0543488	Interested																																																																																		
5879	7201057	C2825142	Experimental Result	C0038435	Stress	C0150312	Present	C0220929	Mental tolerance																																																																																				
5880	6121376	C0150312	Present	C1273518	Responsible to																																																																																								
5881	7200245	C3838679	4+ Answer to question	C4288557	One Activity Hour	C2825142	Experimental Result	C1444656	Indicated	C2825142	Experimental Result	C0151888	Hyporeflexia																																																																																
5882	7199855	C0428886	Mean blood pressure																																																																																										
5883	7103611	C3715215	S1	C0240320	medication use	C0344315	Depressed mood	C3715215	S1	C1444656	Indicated	C2825142	Experimental Result	C0030193	Pain																																																																														
5884	7100254	C0039082	Syndrome	C3715215	S1	C0039082	Syndrome	C0600688	Toxic effect	C0600688	Toxic effect																																																																																		
5885	7099701	C0344307	Absence of pain sensation	C2825142	Experimental Result	C1444656	Indicated	C0231530	Muscle twitch	C1273517	Used by	C0220929	Mental tolerance																																																																																
5886	7097206	C1705232	Death Related to Adverse Event	C0524662	Opiate Addiction	C1273518	Responsible to	C1705232	Death Related to Adverse Event	C0438696	Suicidal	C1514241	Positive Finding	C0020792	Identification (Psychology)	C0034063	Pulmonary Edema																																																																												
5887	7095930	C0556390	Poly-drug misuser	C1273517	Used by																																																																																								
5888	7095922	C0150312	Present	C0242510	Drug usage	C0242510	Drug usage																																																																																						
5889	7095651	C0564182	Vocalization (finding)	C0234421	Conscious	C0564182	Vocalization (finding)	C3838679	4+ Answer to question	C3838679	4+ Answer to question	C0442748	6/4	C2825142	Experimental Result	C0564182	Vocalization (finding)	C0564182	Vocalization (finding)	C0564182	Vocalization (finding)																																																																								
5890	7094837	C0858353	addicted to heroin	C0858353	addicted to heroin	C0858353	addicted to heroin	C0858353	addicted to heroin	C0858353	addicted to heroin	C1273517	Used by	C1273517	Used by																																																																														
5891	7092918	C0449416	Source	C0030193	Pain	C0030193	Pain	C1140999	Contraction (finding)	C0086045	Mental concentration	C0086045	Mental concentration	C1140999	Contraction (finding)	C0086045	Mental concentration																																																																												
5892	7091592	C0033213	Problem	C0030201	Pain, Postoperative	C0013987	Emotions																																																																																						
5893	7088269	C2825142	Experimental Result	C2825142	Experimental Result	C3838679	4+ Answer to question	C1148454	seizure activity	C1148454	seizure activity																																																																																		
5894	7085403	C0085639	Falls	C1273517	Used by	C0242184	Hypoxia	C0011570	Mental Depression	C1301655	Minute ventilation	C0242706	Hyperoxia	C0428167	Inspired fraction of oxygen	C1963140	Hypoxia Adverse Event	C0231837	Slow respiration	C0242184	Hypoxia	C0235063	Respiratory Depression																																																																						
5895	7084510	C0020175	Hunger	C1554187	Gender Status - Intact	C0474395	Behavior showing increased motor activity	C0858603	wave slowing																																																																																				
5896	7082795	C3843645	1-10	C0344315	Depressed mood	C3843645	1-10	C2825142	Experimental Result	C0598463	Functional Status																																																																																		
5897	7078053	C0009566	Complication	C0474710	Depth of anesthesia	C0332219	Easy																																																																																						
5898	7073424	C0040034	Thrombocytopenia	C0026552	Morphine Dependence	C0150312	Present	C0150312	Present	C1290955	drug dependent	C0040034	Thrombocytopenia	C0272286	Thrombocytopenia due to platelet alloimmunization																																																																														
